date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2025-10-24,53,122,80,1657050,49
2025-10-25,71,179,113,2652920,71
2025-10-26,41,116,69,1893654,41
2025-10-27,61,104,83,1799975,57
2025-10-28,53,127,70,1715820,52
2025-10-29,53,102,66,1130130,52
2025-10-30,49,137,104,2142520,49
2025-10-31,66,129,77,2026890,62
2025-11-01,80,161,83,3085986,75
2025-11-02,82,164,81,3161695,72
2025-11-03,29,58,35,988940,29
2025-11-04,39,96,62,1646610,39
2025-11-05,67,96,67,1903240,59
2025-11-06,63,116,94,1471110,63
2025-11-07,60,120,81,1882310,59
2025-11-08,59,233,119,3477855,59
2025-11-09,47,126,65,1984870,45
2025-11-10,44,135,85,2422660,44
2025-11-11,60,113,95,1924850,58
2025-11-12,62,107,78,1956790,59
2025-11-13,49,128,87,1788900,46
2025-11-14,80,186,97,2628469,79
2025-11-15,50,177,96,1640160,50
2025-11-16,66,154,101,3276065,65
2025-11-17,60,112,73,1990160,48
2025-11-18,35,116,72,1178680,32
2025-11-19,46,92,58,1118460,46
2025-11-20,59,130,101,1686090,59
2025-11-21,62,103,63,1823836,60
2025-11-22,89,216,107,3834512,85
2025-11-23,67,170,85,3709301,65
2025-11-24,48,94,55,1789570,47
2025-11-25,36,80,50,977560,36
2025-11-26,30,78,51,478635,30
2025-11-27,40,71,78,1422740,39
2025-11-28,49,184,87,2200630,48
2025-11-29,39,155,86,3708496,38
2025-11-30,42,93,41,1731340,34
2025-12-01,27,53,29,1090895,26
2025-12-02,18,33,21,721530,17
2025-12-03,9,28,16,169960,9
2025-12-04,24,122,56,1838780,24
2025-12-05,16,58,27,1353350,16
2025-12-06,32,109,57,3197500,32
2025-12-07,12,27,14,430500,11
2025-12-08,24,80,39,1284800,21
2025-12-09,18,65,40,800140,18
2025-12-10,18,33,21,416130,18
2025-12-11,20,80,56,1670925,20
2025-12-12,21,50,27,1293910,20
2025-12-13,28,52,34,798800,28
2025-12-14,21,87,49,1562450,21
2025-12-15,18,50,42,826140,18
2025-12-16,18,24,18,221760,18
2025-12-17,17,20,20,117920,17
2025-12-18,27,38,27,717410,27
2025-12-19,9,21,10,531550,9
2025-12-20,19,38,19,698245,18
2025-12-21,12,45,27,648010,12
2025-12-22,13,14,13,155110,12
2025-12-23,19,36,21,751650,19
2025-12-24,17,18,17,257500,17
2025-12-25,26,38,27,719140,25
2025-12-26,35,53,34,960371,26
2025-12-27,40,71,35,1562408,30
2025-12-28,25,65,35,1776480,25
2025-12-29,13,29,13,1577284,13
2025-12-30,9,22,9,865030,9
2025-12-31,19,48,19,1684430,19
2026-01-01,11,31,11,1650070,11
2026-01-02,8,16,8,723010,8
2026-01-03,5,11,5,491650,5
2026-01-04,2,3,2,137400,2
2026-01-05,3,5,3,333250,3
2026-01-06,0,0,0,0,0
2026-01-07,10,10,10,601100,10
2026-01-08,6,9,6,301500,6
2026-01-09,6,11,6,220000,6
2026-01-10,8,25,11,489200,7
2026-01-11,5,26,7,408800,5
2026-01-12,4,11,4,157750,4
2026-01-13,5,5,5,36300,5
2026-01-14,9,10,9,95150,9
2026-01-15,6,6,6,45650,6
2026-01-16,6,10,7,37180,6
2026-01-17,15,27,15,576320,15
2026-01-18,5,9,5,137500,5
2026-01-19,2,3,2,65200,2
2026-01-20,1,8,3,105600,1
2026-01-21,0,0,0,0,0
2026-01-22,0,0,0,0,0
